IsSender,StrContent,StrTime,keywords,emoji
1,和同学吃,2024-10-15 12:19:03,"同学, 吃",
0,哦哦哈哈哈哈,2024-10-15 12:19:07,哈哈哈哈,
0,法国同学？,2024-10-15 12:19:42,"法国, 同学",
1,国际生,2024-10-15 12:20:27,"国际, 生",
0,你周末去玩剧本杀吗,2024-10-15 12:20:34,"周末, 玩, 剧本, 杀",
1,法国人才不带我吃饭,2024-10-15 12:20:39,"法国, 人才, 不带, 吃",
1,不去吧，该学习了,2024-10-15 12:20:55,"不去, 学习",
0,笑死,2024-10-15 12:21:04,笑死,
0,下周考试,2024-10-15 12:21:08,"下周, 考试",
0,今天早上处理了一堆事情,2024-10-15 12:21:26,"处理, 一堆, 事情",
0,我们学校注册部是一个拽姐,2024-10-15 12:23:09,"学校, 注册, 部是, 拽, 姐",
0,很不耐烦，然后我又需要那个注册证明搞我的visa,2024-10-15 12:23:40,"不耐烦, 需要, 注册, 证明, 搞, visa",
0,然后问老师要了两封推荐信，然后写感谢信,2024-10-15 12:24:09,"老师, 两封, 推荐信, 感谢信",
0,事情很多，世界毁灭,2024-10-15 12:24:26,"事情, 世界, 毁灭",
0,你早上干嘛了,2024-10-15 12:24:50,干嘛,
1,为什么开学不给你注册证明,2024-10-15 12:27:09,"开学, 注册, 证明",
1,早上上课呗,2024-10-15 12:27:35,上课,
0,我们学校行政很乱,2024-10-15 12:27:55,"学校, 行政, 乱",
0,搞不懂,2024-10-15 12:27:58,搞不懂,
1,笑死被我猜中了,2024-10-15 12:29:59,"笑死, 猜中",
1,和我一届的男生为什么要回国,2024-10-15 12:30:12,"一届, 男生, 回国",
1,但是不是闹分手,2024-10-15 12:30:21,"闹, 分手",
1,是他女朋友出事了他要回去陪,2024-10-15 12:30:36,"女朋友, 出事, 回去, 陪",
0,结婚呗,2024-10-15 12:30:40,结婚,
1,试都不考了，直接补考,2024-10-15 12:30:56,"试都, 不考, 补考",
0,好好好,2024-10-15 12:31:15,好好,
0,纯爱战神,2024-10-15 12:31:22,"纯爱, 战神",
1,[旺柴][旺柴],2024-10-15 12:32:22,,"[旺柴], [旺柴]"
0,你怎么知道我是纯爱战士,2024-10-15 12:32:25,"纯爱, 战士",
1,不是你和我吃完饭谈恋爱观到10点吗,2024-10-15 12:34:07,"吃完饭, 谈恋爱, 观到",
0,好好好,2024-10-15 12:34:34,好好,
0,那你是花心大萝卜,2024-10-15 12:34:45,"花心, 大萝卜",
0,三分钟热度,2024-10-15 12:34:54,"三分钟, 热度",
0,[旺柴],2024-10-15 12:36:01,,[旺柴]
1,三分钟热度我认证,2024-10-15 12:47:39,"三分钟, 热度, 认证",
0,感冒了,2024-10-15 17:34:05,感冒,
0,笑死,2024-10-15 17:34:09,笑死,
0,和我的头像完全一致了,2024-10-15 17:34:33,"头像, 完全一致",
0,中国玄学大胜利,2024-10-15 17:34:46,"中国, 玄学, 胜利",
1,积劳成疾,2024-10-15 19:02:50,积劳成疾,
1,多吃维生素,2024-10-15 19:02:54,"吃, 维生素",
0,你撤回了一条消息,2024-10-15 19:07:20,撤回,
1,我早八点上到晚七,2024-10-15 19:07:32,"早, 八点, 上到, 晚七",
0,辛苦,2024-10-15 19:44:19,辛苦,
0,刚吃饭去了,2024-10-15 19:44:27,吃,
0,我也是七点下课,2024-10-15 19:44:38,"七点, 下课",
0,卢森堡房子太难找了,2024-10-15 19:44:58,"卢森堡, 房子, 太难, 找",
0,"""范艺佳"" 撤回了一条消息",2024-10-15 19:45:08,"范艺佳, 撤回",
1,我正在吃,2024-10-15 19:45:29,吃,
1,昨天的kebab,2024-10-15 19:45:33,kebab,
0,刚吃完,2024-10-15 19:46:09,吃,
0,感觉一个月都不想吃了,2024-10-15 19:46:24,"一个月, 不想, 吃",
0,太腻了,2024-10-15 19:46:29,太腻,
1,早跟你说了taco腻,2024-10-15 19:46:55,"早, taco, 腻",
1,还是吃带蔬菜的好,2024-10-15 19:47:33,"吃, 带, 蔬菜",
0,牙齿不好,2024-10-15 19:47:48,"牙齿, 不好",
1,kebab不硬,2024-10-15 19:48:04,"kebab, 不硬",
1,我也不吃硬的,2024-10-15 19:48:10,"不吃, 硬",
0,好好好,2024-10-15 19:49:33,好好,
